PID,phase,run,trial,event,onset,duration
1,localizer,0,0,stimulus,0,0.4
1,localizer,0,0,iti,0.4,0.3
1,localizer,0,0,stimulus,0.7,0.4
1,localizer,0,0,iti,1.1,0.3
1,localizer,0,1,stimulus,1.4000000000000001,0.4
1,localizer,0,1,iti,1.8000000000000003,0.3
1,localizer,0,2,stimulus,2.1,0.4
1,localizer,0,2,iti,2.5,0.3
1,localizer,0,3,stimulus,2.8,0.4
1,localizer,0,3,iti,3.1999999999999997,0.3
1,localizer,0,3,stimulus,3.4999999999999996,0.4
1,localizer,0,3,iti,3.8999999999999995,0.3
1,localizer,0,4,stimulus,4.199999999999999,0.4
1,localizer,0,4,iti,4.6,0.3
1,localizer,0,5,stimulus,4.8999999999999995,0.4
1,localizer,0,5,iti,5.3,0.3
1,localizer,1,6,stimulus,0,0.4
1,localizer,1,6,iti,0.4,0.3
1,localizer,1,7,stimulus,0.7,0.4
1,localizer,1,7,iti,1.1,0.3
1,localizer,1,8,stimulus,1.4000000000000001,0.4
1,localizer,1,8,iti,1.8000000000000003,0.3
1,localizer,1,9,stimulus,2.1,0.4
1,localizer,1,9,iti,2.5,0.3
1,localizer,1,10,stimulus,2.8,0.4
1,localizer,1,10,iti,3.1999999999999997,0.3
1,localizer,1,11,stimulus,3.4999999999999996,0.4
1,localizer,1,11,iti,3.8999999999999995,0.3
1,localizer,1,12,stimulus,4.199999999999999,0.4
1,localizer,1,12,iti,4.6,0.3
1,localizer,1,13,stimulus,4.8999999999999995,0.4
1,localizer,1,13,iti,5.3,0.3
1,localizer,1,14,stimulus,5.6,0.4
1,localizer,1,14,iti,6,0.3
1,localizer,1,15,stimulus,6.3,0.4
1,localizer,1,15,iti,6.7,0.3
1,localizer,1,16,stimulus,7,0.4
1,localizer,1,16,iti,7.4,0.3
1,localizer,1,17,stimulus,7.7,0.4
1,localizer,1,17,iti,8.1,0.3
1,localizer,1,18,stimulus,8.4,0.4
1,localizer,1,18,iti,8.8,0.3
1,localizer,1,19,stimulus,9.100000000000001,0.4
1,localizer,1,19,iti,9.500000000000002,0.3
1,localizer,1,20,stimulus,9.800000000000002,0.4
1,localizer,1,20,iti,10.200000000000003,0.3
1,localizer,1,21,stimulus,10.500000000000004,0.4
