PID,phase,run,trial,event,onset,duration
90291,localizer,0,0,stimulus,0,0.4
90291,localizer,0,0,iti,0.4,0.3
90291,localizer,0,1,stimulus,0.7,0.4
90291,localizer,0,1,iti,1.1,0.3
90291,localizer,0,2,stimulus,1.4000000000000001,0.4
90291,localizer,0,2,iti,1.8000000000000003,0.3
90291,localizer,0,3,stimulus,2.1,0.4
90291,localizer,0,3,iti,2.5,0.3
90291,localizer,0,4,stimulus,2.8,0.4
90291,localizer,0,4,iti,3.1999999999999997,0.3
90291,localizer,0,5,stimulus,3.4999999999999996,0.4
90291,localizer,0,5,iti,3.8999999999999995,0.3
90291,localizer,1,6,stimulus,0,0.4
90291,localizer,1,6,iti,0.4,0.3
90291,localizer,1,7,stimulus,0.7,0.4
90291,localizer,1,7,iti,1.1,0.3
90291,localizer,1,8,stimulus,1.4000000000000001,0.4
90291,localizer,1,8,iti,1.8000000000000003,0.3
90291,localizer,1,9,stimulus,2.1,0.4
90291,localizer,1,9,iti,2.5,0.3
90291,localizer,1,10,stimulus,2.8,0.4
90291,localizer,1,10,iti,3.1999999999999997,0.3
90291,localizer,1,11,stimulus,3.4999999999999996,0.4
90291,localizer,1,11,iti,3.8999999999999995,0.3
90291,localizer,1,12,stimulus,4.199999999999999,0.4
90291,localizer,1,12,iti,4.6,0.3
90291,localizer,1,13,stimulus,4.8999999999999995,0.4
90291,localizer,1,13,iti,5.3,0.3
90291,localizer,1,14,stimulus,5.6,0.4
90291,localizer,1,14,iti,6,0.3
90291,localizer,1,15,stimulus,6.3,0.4
90291,localizer,1,15,iti,6.7,0.3
90291,localizer,1,16,stimulus,7,0.4
90291,localizer,1,16,iti,7.4,0.3
90291,localizer,1,17,stimulus,7.7,0.4
90291,localizer,1,17,iti,8.1,0.3
90291,localizer,1,18,stimulus,8.4,0.4
90291,localizer,1,18,iti,8.8,0.3
90291,localizer,1,19,stimulus,9.100000000000001,0.4
90291,localizer,1,19,iti,9.500000000000002,0.3
90291,localizer,1,20,stimulus,9.800000000000002,0.4
90291,localizer,1,20,iti,10.200000000000003,0.3
90291,localizer,1,21,stimulus,10.500000000000004,0.4
90291,localizer,1,21,iti,10.900000000000004,0.3
90291,localizer,1,22,stimulus,11.200000000000005,0.4
90291,localizer,1,22,iti,11.600000000000005,0.3
90291,localizer,1,23,stimulus,11.900000000000006,0.4
90291,localizer,1,23,iti,12.300000000000006,0.3
90291,localizer,1,24,stimulus,12.600000000000007,0.4
90291,localizer,1,24,iti,13.000000000000007,0.3
90291,localizer,1,25,stimulus,13.300000000000008,0.4
90291,localizer,1,25,iti,13.700000000000008,14
90291,localizer,1,26,stimulus,27.70000000000001,0.4
90291,localizer,1,26,iti,28.10000000000001,0.3
90291,localizer,1,27,stimulus,28.40000000000001,0.4
90291,localizer,1,27,iti,28.800000000000008,0.3
90291,localizer,1,28,stimulus,29.10000000000001,0.4
90291,localizer,1,28,iti,29.500000000000007,0.3
90291,localizer,1,29,stimulus,29.800000000000008,0.4
90291,localizer,1,29,iti,30.200000000000006,0.3
90291,localizer,1,30,stimulus,30.500000000000007,0.4
90291,localizer,1,30,iti,30.900000000000006,0.3
90291,localizer,1,31,stimulus,31.200000000000006,0.4
90291,localizer,1,31,iti,31.600000000000005,0.3
90291,localizer,1,32,stimulus,31.900000000000006,0.4
90291,localizer,1,32,iti,32.300000000000004,0.3
90291,localizer,1,33,stimulus,32.6,0.4
90291,localizer,1,33,iti,33,0.3
90291,localizer,1,34,stimulus,33.3,0.4
90291,localizer,1,34,iti,33.699999999999996,0.3
90291,localizer,1,35,stimulus,33.99999999999999,0.4
90291,localizer,1,35,iti,34.39999999999999,0.3
90291,localizer,1,36,stimulus,34.69999999999999,0.4
90291,localizer,1,36,iti,35.09999999999999,0.3
90291,localizer,1,37,stimulus,35.399999999999984,0.4
90291,localizer,1,37,iti,35.79999999999998,0.3
90291,localizer,1,38,stimulus,36.09999999999998,0.4
90291,localizer,1,38,iti,36.49999999999998,0.3
