"","PID","time_elapsed","index","stimulus_id","painting","deliberated_stim","reward_type","chosen_obj","initial_rating","new_rating","rt"
"1170","1ae5n",1874904,0,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",0,NA,NA,32,21,3.261
"1171","1ae5n",1877020,1,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",1,-1,0,47,31,2.113
"1172","1ae5n",1879105,2,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",1,1,0,56,53,2.083
"1173","1ae5n",1880937,3,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",1,1,0,53,34,1.83
"1174","1ae5n",1882919,4,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",1,1,0,57,57,1.98
"1175","1ae5n",1885107,5,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",1,-1,0,57,56,2.186
"1176","1ae5n",1887003,6,44,"rikonavt-HQjfrvdTfak-unsplash.jpg",0,NA,NA,74,78,1.894
"1177","1ae5n",1889035,7,38,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",0,NA,NA,66,75,2.03
"1178","1ae5n",1891275,8,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",1,1,1,60,59,2.238
"1179","1ae5n",1957871,9,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",0,NA,NA,75,64,66.593
"1180","1ae5n",1962171,10,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",0,NA,NA,66,72,4.297
"1181","1ae5n",1963739,11,25,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",0,NA,NA,36,59,1.565
"1182","1ae5n",1965649,12,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",0,NA,NA,63,74,1.908
"1183","1ae5n",1967899,13,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",1,1,0,59,79,2.247
"1184","1ae5n",1969569,14,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",1,-1,0,56,27,1.667
"1185","1ae5n",1971324,15,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",1,-1,1,55,62,1.753
"1186","1ae5n",1973176,16,49,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",1,1,0,46,46,1.85
"1187","1ae5n",1975058,17,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",0,NA,NA,18,22,1.88
"1188","1ae5n",1979310,18,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",0,NA,NA,35,27,4.25
"1189","1ae5n",1981232,19,19,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",0,NA,NA,62,62,1.92
"1190","1ae5n",1984642,20,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",0,NA,NA,31,31,3.408
"1191","1ae5n",1986396,21,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",1,-1,1,56,57,1.753
"1192","1ae5n",1988010,22,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",0,NA,NA,62,57,1.612
"1193","1ae5n",1990967,23,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",1,-1,0,60,46,2.954
"1194","1ae5n",1992971,24,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",0,NA,NA,37,12,2.002
"1195","1ae5n",1995630,25,33,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg",1,1,0,56,61,2.658
"1196","1ae5n",1999014,26,32,"nathan-dumlao-ger61_TX6oI-unsplash.jpg",0,NA,NA,81,82,3.382
"1197","1ae5n",2002714,27,10,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg",0,NA,NA,80,82,3.698
"1198","1ae5n",2005150,28,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",0,NA,NA,43,31,2.433
"1199","1ae5n",2007350,29,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",1,-1,1,60,71,2.198
"1200","1ae5n",2009204,30,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",1,1,1,55,72,1.852
"1201","1ae5n",2011502,31,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",1,-1,0,46,18,2.296
"1202","1ae5n",2013922,32,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",0,NA,NA,62,23,2.418
"1203","1ae5n",2016566,33,42,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg",0,NA,NA,34,57,2.642
"1204","1ae5n",2019594,34,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",0,NA,NA,39,28,3.026
"1205","1ae5n",2021656,35,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",0,NA,NA,38,72,2.06
"1206","1ae5n",2024868,36,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",1,1,1,45,71,3.21
"1207","1ae5n",2029006,37,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",0,NA,NA,82,67,4.136
"1208","1ae5n",2037668,38,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",1,1,1,61,71,8.66
"1209","1ae5n",2039716,39,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",0,NA,NA,39,27,2.046
"1210","1ae5n",2045196,40,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",1,-1,0,54,26,5.478
"1211","1ae5n",2047116,41,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",0,NA,NA,70,76,1.918
